Airline,From,To
Nauru Ailines,Nauru,Honiara
Nauru Ailines,Nauru,Brisbane
Nauru Ailines,Nauru,Tarawa
Nauru Ailines,Tarawa,Majuro
Nauru Ailines,Majuro,Pohnpei
Nauru Ailines,Nauru,Nadi
Nauru Ailines,Nadi,Nauru
Solomon Airlines,Honiara,Nadi
Solomon Airlines,Honiara,Brisbane
Solomon Airlines,Honiara,Port Moresby
Solomon Airlines,Honiara,Port Vila
Solomon Airlines,Honiara,Tarawa
Solomon Airlines,Honiara,Sydney
United Airlines,Guam,Chuuk
United Airlines,Chuuk,Pohnpei
United Airlines,Pohnpei,Kosrae
United Airlines,Kosrae,Majuro
United Airlines,Majuro,Honolulu
Air Vanuatu,Port Vila,Nadi
Air Vanuatu,Port Vila,Suva
Air Vanuatu,Port Vila,Auckland
Air Vanuatu,Port Vila,Sydney
Air Vanuatu,Port Vila,Noumea
Air New Zealand,Auckland,Tongatapu
Fiji Airways,Nadi,Tongatapu
Fiji Link,Suva,Tongatapu
Talofa Airways,Apia,Tongatapu
Talofa Airways,Apia,Pago Pago
Fiji Link,Nadi,Funafuti
Hawaiian Airlines,Honolulu,Papeete
Aircalin,Noumea,Papeete
Air Niugini,Port Moresby,Pohnpei
Air Niugini,Pohnpei,Chuuk
Air Niugini,Chuuk,Port Moresby
LATAM Airlines,Santiago de Chile,Easter Island
LATAM Airlines,Easter Island,Papeete
Air New Zealand,Auckland,Papeete
United Airlines,Honolulu,Los Angeles
Fiji Airways,Nadi,Kiritimati
Fiji Airways,Kiritimati,Honolulu
United Airlines,Guam,Yap
United Airlines,Guam,Koror
United Airlines,Guam,Saipan
Air Tahiti,Papeete,Rarotonga
Air New Zealand,Rarotonga,Auckland
Latam Equador,Quito,Baltra
Latam Equador,Quito,Santiago de Chile
